ticker,Return,Volatility,Sharpe,Min_Corr,Corr_value,D,W,M,3M,6M,A,YTD
MO,-6.91%,35.11%,-0.20,DPZ,0.11,-0.97%,1.53%,5.04%,8.28%,8.74%,-10.21%,4.27%
AMZN,51.31%,37.48%,1.37,VNT,-0.05,-2.81%,6.06%,2.81%,3.44%,18.06%,76.26%,0.69%
AMCR,7.16%,46.33%,0.15,KR,0.13,-1.34%,0.36%,3.88%,7.58%,17.63%,13.42%,-4.55%
AEE,2.11%,41.82%,0.05,CARR,0.06,-0.16%,-2.03%,1.03%,-0.64%,12.38%,4.26%,-3.32%
AAL,-44.66%,97.83%,-0.46,CHD,-0.12,6.63%,0.38%,11.61%,28.32%,20.66%,-44.81%,14.90%
AEP,-9.71%,37.24%,-0.26,CARR,0.05,-1.69%,2.00%,-1.91%,2.72%,6.29%,-9.01%,-1.86%
AXP,-3.13%,60.97%,-0.05,CLX,-0.04,-1.77%,3.27%,1.96%,21.11%,28.12%,-1.14%,-1.53%
AIG,-21.05%,69.63%,-0.30,KR,-0.01,-3.86%,-3.07%,-0.71%,38.64%,23.78%,-23.08%,1.80%
AMT,2.56%,42.57%,0.06,VNT,0.07,-1.39%,1.83%,-2.37%,-6.62%,-12.27%,-0.48%,2.47%
AWK,26.13%,41.34%,0.63,VNT,0.05,-1.63%,0.75%,0.06%,6.29%,20.14%,26.88%,4.12%
AMP,19.59%,66.70%,0.29,KR,0.12,-4.64%,1.69%,4.91%,26.86%,31.18%,19.82%,4.13%
ABC,24.25%,41.00%,0.59,NEM,0.16,-1.84%,0.90%,-5.19%,1.29%,-2.18%,17.03%,11.50%
AME,13.23%,45.21%,0.29,CLX,0.14,-1.98%,-1.39%,2.19%,21.86%,35.79%,22.19%,-5.08%
AMGN,8.15%,36.86%,0.22,CARR,-0.00,-2.92%,3.26%,3.55%,-8.92%,-1.20%,-1.99%,11.94%
APH,15.12%,39.92%,0.38,KR,0.07,-3.42%,0.38%,0.19%,21.05%,37.12%,22.09%,-3.54%
ADI,22.12%,48.77%,0.45,VNT,0.12,-4.81%,-1.38%,6.69%,27.11%,21.62%,26.87%,1.20%
ANSS,31.39%,44.91%,0.70,VNT,0.15,-4.85%,2.82%,7.61%,11.18%,24.70%,41.33%,0.17%
ANTM,0.55%,53.39%,0.01,KR,0.05,-7.15%,-3.78%,3.38%,19.90%,22.89%,7.74%,-5.78%
AON,0.97%,38.67%,0.03,CARR,0.03,-1.51%,-0.71%,3.11%,2.66%,10.20%,2.37%,-1.42%
AOS,22.40%,38.85%,0.58,NEM,0.08,-2.39%,1.64%,-2.65%,4.35%,17.46%,17.46%,9.05%
